epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.7128,1.1923,2.00765,4.48546,1.54733,0,0.61491,0.95455,0.74885,0.50827,0.61491,0.95455,0.74885,0.44013,1.24973,1.48728,3.09934,1.75623,0,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004
2,35.3239,0.87238,1.43169,2.37783,1.26604,0,0.9996,0.95455,0.99326,0.85949,0.9996,0.95455,0.99326,0.82863,0.55628,0.88268,1.2448,0.9573,0,0.00243565,0.000811882,0.00243565,0.000811882,0.00243565,0.000811882,0.00243565,0.000811882
3,44.5788,0.45127,0.82853,1.10119,0.97234,0,0.98888,1,0.995,0.995,0.98888,1,0.995,0.97417,0.18395,0.41449,0.51014,0.80173,0,0.00364634,0.00121545,0.00364634,0.00121545,0.00364634,0.00121545,0.00364634,0.00121545
4,56.9851,0.31192,0.56377,0.68228,0.88052,0,0.99723,1,0.995,0.995,0.99723,1,0.995,0.97347,0.16738,0.31136,0.34024,0.7879,0,0.00483209,0.0016107,0.00483209,0.0016107,0.00483209,0.0016107,0.00483209,0.0016107
5,65.3368,0.28269,0.42962,0.46541,0.85148,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.98667,0.18538,0.26703,0.30415,0.78469,0,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,73.7432,0.29123,0.32543,0.35356,0.85645,0,0.99769,1,0.995,0.995,0.99769,1,0.995,0.995,0.19299,0.24048,0.19731,0.77533,0,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,81.9762,0.29827,0.33912,0.33146,0.85007,0,0.99746,1,0.995,0.995,0.99746,1,0.995,0.995,0.1873,0.23885,0.36101,0.77873,0,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,89.3478,0.27619,0.2776,0.32906,0.84628,0,0.99767,1,0.995,0.995,0.99767,1,0.995,0.995,0.15356,0.25805,0.24695,0.77553,0,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,96.6776,0.25066,0.28666,0.25948,0.81487,0,0.99736,1,0.995,0.98137,0.99736,1,0.995,0.995,0.21186,0.27735,0.19653,0.78746,0,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,104.069,0.2596,0.29884,0.26568,0.82732,0,0.99767,1,0.995,0.995,0.99767,1,0.995,0.995,0.20807,0.2435,0.15504,0.78392,0,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,111.178,0.28578,0.26399,0.25013,0.84376,0,0.99747,1,0.995,0.995,0.99747,1,0.995,0.995,0.15137,0.18756,0.12706,0.77303,0,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,118.655,0.26692,0.24424,0.22727,0.83053,0,0.9974,1,0.995,0.995,0.9974,1,0.995,0.995,0.15719,0.1806,0.12793,0.77586,0,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,126.268,0.26658,0.23376,0.22617,0.83214,0,0.99755,1,0.995,0.995,0.99755,1,0.995,0.995,0.2072,0.1953,0.1465,0.7817,0,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,134.425,0.25719,0.21785,0.22498,0.84042,0,0.99746,1,0.995,0.995,0.99746,1,0.995,0.995,0.16697,0.19417,0.13151,0.77879,0,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,142.317,0.30626,0.264,0.26532,0.83301,0,0.99761,1,0.995,0.995,0.99761,1,0.995,0.995,0.15355,0.19659,0.15068,0.77638,0,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,149.973,0.25065,0.22827,0.24177,0.83162,0,0.99773,1,0.995,0.995,0.99773,1,0.995,0.995,0.14843,0.19234,0.17494,0.77661,0,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,157.888,0.26194,0.2295,0.22835,0.83835,0,0.99774,1,0.995,0.995,0.99774,1,0.995,0.995,0.17255,0.18743,0.15549,0.77756,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,165.134,0.26325,0.25728,0.22287,0.83273,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.15617,0.17635,0.14204,0.77551,0,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,172.668,0.22675,0.19924,0.20953,0.82418,0,0.99774,1,0.995,0.995,0.99774,1,0.995,0.995,0.19699,0.16931,0.17761,0.7794,0,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,180.543,0.24509,0.21421,0.22086,0.83828,0,0.99763,1,0.995,0.995,0.99763,1,0.995,0.995,0.18119,0.17366,0.14401,0.7772,0,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,188.021,0.24786,0.2144,0.21323,0.82243,0,0.99749,1,0.995,0.995,0.99749,1,0.995,0.995,0.1501,0.17234,0.13077,0.77493,0,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,196.075,0.24302,0.22568,0.21386,0.83919,0,0.99752,1,0.995,0.995,0.99752,1,0.995,0.995,0.16662,0.17673,0.13964,0.77466,0,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,203.803,0.23788,0.22087,0.21881,0.83665,0,0.99743,1,0.995,0.995,0.99743,1,0.995,0.995,0.1405,0.16772,0.12762,0.77629,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,211.906,0.26283,0.22111,0.22752,0.84072,0,0.99756,1,0.995,0.995,0.99756,1,0.995,0.995,0.15192,0.1642,0.13453,0.77563,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
